month,department,budget_revenue,actual_revenue,budget_expense,actual_expense
2024-03,Operations,330199,298009,173235,224546
2023-03,IT,542436,604219,197020,226291
2024-02,HR,792868,677575,272168,254224
2024-05,HR,649149,701873,253941,272422
2023-04,Sales,428668,373055,190811,247614
2024-06,Marketing,428970,471363,198056,226234
2023-08,IT,398053,398875,170661,138280
2023-04,IT,267789,310645,133607,121944
2023-02,HR,306072,347996,131080,118130
2023-06,HR,626172,734003,365621,462916
2024-10,Sales,126497,148671,47852,59261
2023-10,Marketing,225748,229638,110212,105389
2023-04,IT,282730,243414,136675,130253
2024-10,Finance,403784,352784,155243,164045
2024-06,Finance,260117,194978,110161,116902
2023-12,Marketing,57101,49675,23390,21183
2023-02,Operations,374639,377733,131779,133443
2023-10,Sales,447959,417874,198530,165168
2023-04,Marketing,583239,570631,242626,301062
2024-02,Finance,712374,754493,251820,197918
2024-04,HR,610468,588193,265531,208251
2024-03,Finance,297117,257119,126736,141343
2023-08,HR,240606,239068,81664,70595
2024-02,Sales,637497,568762,216338,210898
2024-11,HR,747268,722985,369338,391304
2023-08,Marketing,572283,664496,292994,337322
2024-09,HR,420719,407062,245007,249132
2024-04,Operations,188235,228237,61383,80833
2024-01,Marketing,183542,215073,61552,64625
2024-06,Sales,459759,427798,145074,178240
2024-03,Marketing,200348,173634,92093,100545
2024-09,Operations,170014,168941,82766,113363
2024-12,Sales,742241,844966,312525,377766
2024-01,Finance,391094,368088,210944,222866
2023-09,Operations,57749,64041,29221,33438
2024-03,Sales,389594,446090,232101,234625
2024-01,HR,654831,594008,223538,225631
2023-01,Marketing,670775,616357,212967,181977
2023-07,Sales,422371,458491,161532,150024
2023-09,Marketing,279216,284303,85360,116016
2024-12,HR,568567,521758,329645,286591
2023-01,Sales,464599,444964,181744,172961
2023-12,Finance,690546,684702,321607,333166
2023-08,Operations,730772,593545,288962,300791
2024-12,Sales,63181,68985,23613,26152
2023-11,HR,94898,89446,32807,32138
2024-07,Sales,539620,359362,213748,238715
2024-05,Marketing,323006,322080,156537,191187
2023-08,IT,235751,214771,139443,172908
2023-03,Sales,340832,409904,159314,160886
2023-03,Finance,622305,578585,286143,326689
2023-01,Sales,539697,468609,167618,147182
2023-05,Operations,325083,344897,179455,169000
2023-10,Sales,416296,383303,130488,114038
2023-07,IT,351729,318830,201143,209819
2023-09,Marketing,428459,454655,197777,182175
2023-07,Sales,154447,135163,54139,44496
2023-09,Finance,289434,238819,126052,125056
2023-08,HR,728302,879147,435885,344659
2023-12,Sales,291147,311393,113991,142383
2023-02,Sales,448488,434268,170801,165057
2023-01,Operations,487350,487146,163458,195789
2024-04,Finance,205337,217801,98385,96042
2024-11,IT,304743,340337,99580,86710
2024-11,HR,753552,685191,399233,489590
2024-12,Marketing,734028,766279,422629,449383
2023-05,Sales,554948,521204,321626,428739
2023-03,IT,655848,640974,217987,213631
2023-12,HR,409579,417476,191469,188263
2023-08,Marketing,643571,643055,211820,254336
2024-10,IT,59297,64531,27964,33606
2023-03,Finance,114005,120668,62075,66607
2023-01,Finance,239506,196160,110492,171294
2023-03,HR,444823,372344,249819,251796
2023-05,Marketing,704942,673666,381022,327519
2024-03,Finance,240255,292975,92009,82772
2024-02,HR,661282,593704,323387,326229
2023-03,Finance,106305,103648,32127,41052
2023-01,Finance,733333,686134,307129,313900
2023-05,IT,263058,245568,97696,125530
2024-11,IT,786431,803251,457022,509654
2024-02,Finance,275963,322350,116350,141075
2023-07,Operations,643982,679218,319556,354092
2023-09,IT,747133,675091,388206,429700
2024-03,Marketing,328930,437604,174978,203483
2024-03,HR,90693,91548,47226,45572
2023-10,HR,469794,437253,181692,175631
2024-01,Marketing,643990,753115,325743,359109
2024-07,Marketing,396989,374643,184481,247419
2023-07,Marketing,714638,857243,342462,280437
2024-05,Marketing,508024,454947,152531,113730
2024-08,Sales,570436,668324,215326,217573
2023-04,HR,439512,450115,254567,306658
2023-05,Sales,607827,701995,235242,248816
2024-11,Finance,700840,860780,302345,264431
2023-07,Finance,192512,166347,68534,72773
2024-01,HR,338389,390193,115587,91319
2024-03,Finance,779063,647348,282488,323261
2023-11,Marketing,421598,368619,196504,197218
2023-04,Sales,727058,656962,418573,434351
2024-01,Marketing,722961,766654,287637,320450
2023-07,Finance,207879,208702,82532,89204
2024-07,IT,750662,735606,352242,341255
2024-10,Sales,266936,271620,108649,130926
2023-02,Marketing,713399,764018,408866,478185
2023-10,HR,559946,604847,231456,181428
2024-01,Marketing,359571,406782,160775,163261
2024-09,IT,763409,930140,351180,311832
2023-06,Finance,462269,461083,247138,212487
2023-12,Sales,278252,260852,130547,147553
2023-12,HR,428945,460525,159458,157402
2024-08,Sales,139147,120040,46919,48260
2023-11,HR,629701,578415,366065,347596
2024-11,Sales,640246,717027,346033,382548
2023-07,Finance,605563,596542,185840,214041
2023-01,HR,76597,65491,41857,57575
2023-01,Operations,389665,320002,185940,190189
2024-08,Sales,668531,672439,304628,253675
2024-01,Sales,118908,135201,36108,35184
2023-09,Marketing,367332,417078,196250,230997
2023-03,HR,346854,351469,124666,116450
2023-07,IT,272424,338097,141223,116887
2023-06,Operations,518702,512177,158079,148155
2023-08,Finance,754410,741865,406556,394357
2023-09,Marketing,608535,421050,186766,165773
2023-05,Operations,513378,485818,190344,206070
2023-01,HR,126313,139227,48060,49893
2024-07,Operations,776043,921687,269482,314877
2023-10,Sales,299407,269577,133031,130785
2023-12,Sales,317587,335203,122304,138657
2024-12,Marketing,705439,794060,421842,411785
2024-03,HR,481561,482208,228255,200991
2024-10,HR,193973,140825,91156,88288
2024-12,Operations,248831,256215,91137,73571
2023-09,Marketing,223804,244253,94581,124679
2024-08,HR,784664,695454,264583,283467
2024-05,IT,300278,291119,158774,147769
2024-05,IT,198579,171044,79302,78774
2024-08,Sales,393929,272434,207045,141293
2023-12,Operations,176691,198466,72709,91988
2023-07,Finance,307426,307287,183418,229360
2023-02,Sales,347535,414164,122101,130175
2023-03,Marketing,608459,671056,182815,200716
2024-05,HR,494946,473908,236805,203616
2023-05,Sales,276392,273633,161934,141004
2024-05,Finance,571819,610669,282545,224737
2024-12,Finance,292174,326073,95166,97625
2024-05,IT,140153,145579,64770,78316
2024-05,Marketing,87748,99389,50266,49889
2023-02,Sales,183021,176505,55263,60908
2023-02,Operations,266452,234569,93277,111636
2024-10,Sales,297888,295571,162160,130763
2024-11,IT,464097,475524,263686,349867
2023-05,Finance,232378,198872,119011,145621
2023-01,Marketing,661438,555338,395188,445410
2023-01,Marketing,139364,146845,45581,54178
2024-07,Operations,165925,157834,76939,91992
2023-02,Marketing,59958,58764,30308,33153
2024-09,IT,189769,181577,96932,122545
2023-12,IT,137160,162187,73798,72477
2023-06,IT,223873,257769,128791,144152
2024-11,Marketing,333343,283847,136168,169971
2023-04,Marketing,288962,270487,90413,58435
2024-11,IT,477704,526430,195253,217842
2023-11,Marketing,685833,735372,343934,398513
2024-12,Marketing,361146,359349,131470,104352
2024-05,Finance,73731,63665,40035,43729
2023-06,Sales,188148,172737,68848,64093
2024-12,HR,702160,658617,212767,236069
2023-05,Marketing,91410,94448,41356,42834
2024-08,HR,497543,599264,257696,234001
2023-02,HR,766432,703258,310325,377494
2023-06,Finance,278443,244159,146090,144226
2024-10,Marketing,91041,89854,39286,42841
2023-11,IT,435760,489710,153175,191025
2024-04,HR,627614,518643,205334,187366
2024-04,Marketing,481765,565802,247230,259890
2023-01,Operations,760938,745229,316332,308645
2023-09,IT,489268,446154,280757,283332
2023-06,Operations,497803,402213,230023,315916
2024-04,Operations,387563,420421,156780,175360
2023-03,HR,747499,732144,302510,331865
2024-08,Operations,560839,572327,190366,214849
2023-04,Finance,716067,638662,342377,381592
2024-07,Finance,558365,536984,265028,205695
2023-03,HR,61093,57525,32990,46005
2024-07,Marketing,122043,120569,43979,36517
2024-08,Sales,541338,497843,209626,274586
2023-07,Marketing,436678,356284,143741,164253
2024-08,Marketing,449046,596072,174500,187956
2023-09,Marketing,211680,177047,90690,91068
2023-01,Marketing,436822,446333,257379,370824
2023-08,IT,359431,283000,178248,203322
2023-07,Sales,533263,405468,285222,300239
2024-06,IT,607715,614849,241659,234339
2023-08,Operations,569333,581245,195482,186045
2023-01,Marketing,527258,607074,198784,210232
2023-11,Finance,733755,768935,276581,251801
2024-06,HR,421983,414396,200414,230866
2024-11,HR,644506,571063,259375,247224
2023-10,IT,257547,303874,143510,172318
2023-03,IT,728731,809956,434734,520545
2023-07,Finance,270967,230441,109196,113747
2024-04,Marketing,284625,285921,145590,165542
2024-04,Sales,724555,737079,360282,412362
2024-08,Operations,160949,154273,57674,47906
2024-05,HR,176895,193279,101785,133313
2023-02,Operations,339459,373339,122148,123569
2023-01,Sales,133804,130745,69723,80483
2024-04,IT,780606,754296,315585,365618
2023-12,HR,750897,885964,307961,208357
2023-05,Operations,522913,581448,228321,217238
2023-05,IT,671645,677477,375686,441827
2024-11,Sales,256337,206221,87686,92889
2023-09,Operations,688272,716683,217749,251139
2023-09,Marketing,404593,438485,170176,181042
2023-03,IT,301176,201624,95375,117731
2024-07,Sales,203256,209399,102904,109809
2024-04,Operations,207642,197259,109655,138561
2024-04,Marketing,180522,175737,100444,90700
2023-03,Marketing,355174,316500,185810,191542
2024-08,Sales,760827,747297,437403,420339
2024-12,Finance,300690,350916,157708,174787
2024-10,HR,609421,576775,353965,356867
2024-12,Sales,784091,874942,280652,285022
2023-01,Marketing,618286,558460,278203,262702
2024-12,Marketing,198310,216366,118624,116357
2024-08,Sales,786448,786604,396742,415967
2023-11,Finance,511480,533086,288266,215276
2024-05,HR,427747,428114,132224,93182
2023-08,Operations,98245,105809,55167,58414
2023-04,Sales,335701,232268,170977,108506
2023-06,HR,382618,317427,134385,137210
2023-08,HR,277810,291714,85483,84920
2024-08,IT,246739,186232,93261,105506
2023-03,Marketing,266585,249611,153214,145430
2024-04,Operations,115074,114323,57587,74023
2023-03,Sales,108204,97451,62308,73350
2024-06,Marketing,273872,251144,118818,97805
2024-02,IT,730935,754756,424664,427784
2024-06,IT,523479,586880,229748,293865
2023-02,Marketing,257096,227526,92882,87806
2024-10,Finance,729760,679401,252072,262675
2023-03,HR,581134,530138,347601,438192
2024-04,Sales,483568,343059,193503,187487
2023-09,Sales,73694,74947,25646,31248
2023-04,Sales,333884,371334,101007,92269
2023-01,Marketing,605284,679126,233440,143999
2023-04,Finance,638162,571479,361668,446399
2023-01,Operations,147661,125481,67954,75823
2024-02,IT,681233,682999,333620,375550
2024-09,Marketing,765042,841173,441212,390938
2024-04,Operations,749560,763488,340189,305488
2024-08,IT,72970,75503,40241,49197
2024-12,IT,743431,845295,295253,320786
2023-08,Finance,757628,690429,449372,463923
2023-07,HR,465474,453187,150647,163171
2023-03,Sales,663178,793262,343160,437966
2024-05,Operations,107300,104765,53453,61928
2023-01,Marketing,311387,264031,111321,108961
2024-04,Operations,111915,102925,46629,39143
2023-12,HR,189516,168179,74640,84955
2024-07,Sales,649435,677269,213240,194347
2024-10,Operations,650352,580430,309201,269822
2024-11,HR,116535,120325,69699,86939
2024-10,Marketing,578048,526990,270455,319369
2024-02,Finance,742244,553116,344087,381197
2023-06,IT,530693,550219,165626,143140
2023-06,Marketing,235576,239772,80511,106144
2024-01,Sales,180992,192237,82164,98952
2024-07,IT,486346,447069,289645,290928
2024-10,Marketing,224953,203909,126644,123187
2023-08,Marketing,636687,667360,255988,271801
2023-02,Marketing,479667,567101,222038,217205
2024-09,Marketing,494629,495291,230403,318365
2023-01,IT,797417,838045,403180,400023
2024-03,Sales,374422,359972,189582,168693
2023-01,HR,687574,560210,369184,475605
2023-05,Operations,739981,825886,227537,219491
2024-04,Finance,718439,796755,418924,489288
2024-07,Operations,102142,110853,32789,37750
2023-04,Operations,554455,542349,245539,255659
2023-03,Finance,439301,470775,252981,228707
2024-05,IT,142930,158259,63789,66517
2024-05,Sales,147812,176549,47165,41246
2023-12,Finance,214702,240170,79176,82853
2024-02,Sales,644351,649285,305164,355795
2024-09,IT,705278,594556,230173,300989
2023-06,Operations,324391,330450,138548,122867
2023-03,Sales,329747,339899,131479,133113
2023-09,IT,152099,165040,82827,80448
2023-05,IT,750924,872924,250087,272860
2024-12,HR,554254,547925,279809,229927
2024-05,Finance,249530,312441,105295,95892
2024-02,HR,317993,250860,151468,120598
2024-09,Operations,274388,288195,99235,82787
2023-03,Finance,226796,205063,109522,104148
2023-01,Operations,799036,616163,401270,521904
2024-08,HR,329374,321398,105751,116552
2024-09,IT,384639,317380,210514,223092
2024-11,Operations,413534,405523,230907,289103
2023-01,Finance,485946,487973,155048,171721
2023-03,Finance,666225,755649,320425,359400
2024-06,Operations,315467,258395,150857,147695
2023-10,Finance,443661,492026,134756,128611
2024-10,IT,715323,723742,288063,245813
2023-03,IT,566656,636616,334711,321267
2023-08,Finance,720797,683452,336349,339013
2024-02,Operations,131947,110852,76524,84307
2024-12,HR,566655,483866,284853,297525
2024-06,Finance,692924,585509,213778,212760
2024-03,Finance,325631,344301,105281,96147
2024-10,Finance,389528,458564,201251,223362
2024-11,Finance,505639,471359,235815,229998
2023-02,Operations,587443,631792,198641,219114
2023-10,HR,323399,264277,156595,119483
2023-02,HR,695148,710189,377525,415452
2024-05,Sales,437740,472858,230205,267506
2023-08,Finance,464521,383798,173660,198481
2023-01,Finance,648831,632956,244906,249924
2023-09,Sales,85094,92404,50235,59643
2023-11,HR,270638,175359,153241,131642
2024-10,Marketing,476986,553425,188648,195556
2024-04,IT,584022,608808,319586,326294
2023-07,Marketing,777344,844201,270921,326584
2023-10,HR,351749,334328,126296,94333
2024-11,Finance,127932,101485,45333,40404
2023-03,Marketing,174109,185267,56814,74544
2024-06,Operations,602169,596200,335048,229646
2024-12,Operations,244473,245415,115792,135727
2024-01,Sales,614410,694598,232054,219279
2023-07,HR,161513,176282,89574,97474
2023-04,HR,86680,106663,46876,59160
2024-01,Marketing,133452,135915,44077,48219
2024-08,Finance,101044,92662,49839,63055
2023-01,HR,749444,732499,387125,377891
2023-08,Marketing,194582,204287,100160,99756
2024-02,Marketing,402646,451729,208144,243117
2024-04,IT,596440,491440,209253,205922
2024-02,IT,659026,659701,260002,296298
2023-12,HR,207517,247597,114809,140936
2024-07,Marketing,782048,759505,445390,525671
2024-11,Sales,514369,571835,197392,160511
2024-03,Sales,444411,470708,136392,136227
2023-02,IT,154533,172258,86218,94173
2023-02,HR,765309,690942,316170,320411
2024-11,Finance,599721,541759,239192,253999
2024-10,Sales,239932,240515,96956,106095
2024-07,Sales,254685,207856,108166,105030
2024-10,IT,98648,95454,40788,41643
2024-10,IT,244162,251571,114738,100148
2024-05,HR,277993,337526,89981,88030
2024-08,IT,616401,646189,364577,299317
2023-10,Operations,296602,318855,172306,183932
2023-06,Marketing,704719,803194,408963,417558
2024-03,Sales,748002,661414,421711,384866
2024-10,Operations,345206,338367,171946,226588
2023-11,Finance,383777,495475,140590,142444
2023-05,Operations,615892,610044,193910,211940
2023-01,HR,291201,330213,96037,91638
2023-08,Finance,712038,794384,282819,279382
2024-09,Finance,82121,67554,37050,40705
2023-12,IT,699303,725357,418166,418233
2023-12,Operations,514495,523555,221558,232745
2023-05,HR,749545,779223,342837,401470
2023-07,Sales,452894,411910,230317,223936
2023-04,IT,218704,189391,77469,65862
2023-06,Operations,96235,90737,55801,45815
2024-01,Sales,182720,180575,83815,106090
2024-08,Operations,393357,449291,150607,179172
2024-03,IT,557438,679002,323610,371623
2023-03,Sales,531517,620594,259186,255192
2024-11,IT,773277,853096,344190,292574
2023-08,Operations,590777,519576,280055,282198
2024-08,Finance,420334,399709,220461,228396
2024-04,Marketing,436757,447759,151275,133162
2024-01,Finance,476365,440212,266501,221076
2024-06,IT,480340,513610,282368,223198
2023-10,IT,678510,737172,318967,366368
2024-07,IT,51316,54618,25898,22510
2024-05,Sales,110046,123583,61400,67319
2024-12,HR,165594,147618,68298,67637
2024-07,IT,638330,709784,381625,434459
2024-11,Finance,558566,511938,281601,309866
2023-05,Marketing,702583,623252,300143,304707
2024-09,IT,728462,774977,366563,392064
2024-11,IT,164430,188421,75062,77572
2023-09,IT,437926,463571,146045,139866
2023-12,Sales,456088,457226,245721,294131
2024-09,IT,624382,647620,293030,289085
2023-01,Finance,779245,792002,419821,435342
2023-01,Operations,695391,601433,240934,201837
2024-03,HR,703114,598269,324492,354055
2023-02,IT,93677,92790,49647,47582
2024-10,Sales,585872,591486,349467,341943
2024-04,Finance,314250,314677,177651,164161
2023-08,IT,456885,493953,255538,263562
2024-01,Sales,562703,548153,210584,157733
2024-09,Operations,75223,80304,41477,47796
2023-01,Marketing,503882,495139,176753,184565
2024-04,IT,511235,623094,183754,180061
2023-07,Finance,504801,509690,168116,137479
2023-05,Sales,470698,602910,262310,292465
2024-10,Sales,739503,770740,245867,234766
2024-11,IT,205312,200047,70100,87338
2023-03,Sales,322159,287387,120412,135216
2023-12,Marketing,101500,83925,47887,61304
2024-04,Sales,403123,355162,227383,243423
2024-07,HR,785956,702996,334399,405182
2023-05,HR,274045,287028,127125,142305
2024-10,Sales,754991,707320,264206,259543
2024-02,IT,769012,786261,292058,314862
2023-05,HR,232159,267873,78975,73044
2024-03,Finance,260861,258112,110337,150093
2024-05,HR,339741,424505,162090,167742
2024-02,Sales,274376,235662,105691,111391
2024-08,IT,639911,628347,354381,392830
2023-05,Operations,452648,423353,269041,238628
2023-12,IT,124300,138268,41770,52137
2024-04,IT,566909,414538,173110,155141
2024-04,IT,99314,82115,53324,45980
2024-09,Finance,616253,608314,220121,225628
2023-07,Marketing,789628,936629,320544,275060
2023-04,Sales,380101,390402,158984,204181
2023-01,Marketing,486931,407957,279975,284285
2023-05,Operations,234522,200830,116710,66154
2024-11,Marketing,242974,291753,75852,81919
2023-10,Sales,340461,315084,103650,117438
2024-10,Sales,431335,382527,155224,153172
2023-05,Operations,378897,446069,149835,126852
2023-04,Sales,347386,389534,154710,160048
2023-02,Operations,182001,209826,100346,98112
2024-08,Operations,418406,370705,165038,149138
2023-10,Sales,304268,248583,125650,111882
2024-07,HR,410868,417433,163854,175886
2023-01,Operations,587868,611509,177941,210940
2024-12,Sales,678422,708104,397935,445381
2023-05,HR,67833,79865,23178,18329
2024-01,Operations,670709,531166,259095,295969
2023-04,HR,645635,712240,218735,255016
2024-04,Finance,124155,107816,55517,69898
2024-12,IT,795868,877594,461324,418659
2024-04,Finance,456743,430711,150821,157081
2024-11,HR,501355,452384,216720,246005
2023-02,Operations,164527,152485,50462,48991
2024-05,Sales,279482,230999,148480,168196
2024-08,Marketing,774945,778704,381557,399259
2024-12,Sales,615345,558289,313770,289619
2023-12,Marketing,248511,271959,109767,102721
2024-06,Marketing,565553,608991,323660,400494
2023-03,Operations,561474,675216,237428,213812
2023-01,HR,356405,372072,161888,141619
2023-01,Sales,776272,824774,394801,434935
2024-07,HR,443258,517730,202200,211382
2023-11,Finance,597057,552086,213030,181769
2023-05,Operations,510329,419188,201641,196012
2023-12,Operations,258990,265208,84868,78713
2023-03,Finance,72449,60080,31137,29696
2023-01,Sales,189648,245494,91565,130823
2023-01,IT,489090,574514,164118,164875
2023-08,Finance,520415,655554,254574,233651
2023-10,Sales,348489,351100,197893,267802
2023-11,Marketing,167926,179020,67391,79739
2023-12,Operations,436720,412640,160105,185517
2024-01,Sales,798008,882557,453190,419216
2023-12,HR,54321,46397,27572,33878
2024-02,HR,328263,228086,108858,127629
2023-02,Operations,735929,666100,310881,333284
2024-07,Finance,570709,471030,286625,227165
2024-06,IT,180078,212015,85053,89051
2023-03,Finance,743956,906050,361238,473037
2024-11,Sales,365111,303644,171653,185910
2024-05,Finance,738423,852882,398318,395740
2023-08,Operations,236502,263502,93685,95158
2023-10,Sales,162620,131986,83349,85525
2023-02,Marketing,449884,428814,268726,249930
2024-07,Finance,655168,609555,273196,285165
2023-09,Finance,58195,63418,31269,39599
2023-07,IT,676946,577127,253064,316182
2023-04,Sales,107995,106713,41531,38908
2024-09,HR,180112,165286,104547,129783
2024-06,Finance,793194,838248,244130,284209
2024-01,Operations,88250,85954,32231,36904
2023-11,Finance,65376,61176,29084,32422
2024-12,IT,761199,741715,320125,291455
2023-04,Marketing,617730,768656,301916,298644
2024-09,IT,579680,550679,207419,243704
2023-04,Finance,558193,488463,179271,155781
2023-10,HR,566898,606587,232881,208168
2023-05,Finance,732466,719850,334961,367093
2023-09,Sales,523061,434230,245106,228333
2024-12,Finance,74809,94841,35941,42179
2023-03,HR,165095,158111,76702,71859
2024-05,Sales,706053,674037,263870,286736
2023-03,Operations,673761,686683,356665,392049
2024-04,Sales,144769,174825,47243,46188
2023-04,IT,517375,413088,185999,188612
2024-06,Marketing,549302,567493,286633,271727
2024-05,IT,555376,694482,213218,223283
2023-07,Sales,648998,659023,290778,263371
2024-12,Operations,233268,198688,92877,94407
2024-11,Finance,252138,233427,113990,132487
2023-05,Sales,710352,727987,286979,252394
2023-12,IT,103076,119536,61666,60243
2024-05,Sales,335498,321836,136629,154081
2024-11,Sales,708672,778970,345913,255405
2024-01,Sales,357977,296317,202795,269380
2024-11,Operations,578606,478364,284315,343108
2023-03,HR,686651,646869,322559,264256
2023-09,HR,412136,483255,194020,142482
2024-05,Sales,208264,209985,93497,98587
2024-05,Operations,150726,155967,81734,72086
2024-08,Operations,139199,143844,43865,52384
2024-04,Sales,431339,488752,243939,270552
2024-10,IT,218561,202556,104010,111135
2024-01,IT,301131,326002,167025,161089
2024-07,Marketing,419651,377809,127203,164092
2024-05,Sales,602561,745966,337905,392989
2023-04,Marketing,752913,680598,253009,288550
2023-12,IT,603761,539830,311761,383468
2023-09,IT,635698,677628,270143,242364
2024-07,Sales,702824,709553,354449,440477
2023-12,Marketing,456895,474815,223173,225473
2023-09,Marketing,405125,416175,141396,155565
2023-07,Sales,95310,82838,43307,44455
2024-02,Marketing,657694,785025,252008,193622
2024-08,Finance,241755,267677,113173,135083
2024-07,IT,424909,494200,221547,171993
2024-03,HR,338136,316698,109683,99265
2024-04,Operations,79433,83403,36120,35472
2024-09,Marketing,519790,532100,252248,190941
2023-05,Marketing,764095,867523,296935,262759
2023-03,Operations,715130,814697,418995,455331
2023-12,Marketing,381429,390265,173966,173618
2024-08,Operations,434891,355673,154279,155879
2024-09,Sales,478487,580672,159018,145143
2023-04,Finance,254463,271440,117688,124387
2024-09,Finance,73439,68077,30298,30334
2024-11,IT,407970,427872,145957,117328
2024-04,HR,454317,371935,140479,143269
2023-07,Marketing,667064,751542,313506,270779
2024-01,HR,787679,648617,377755,447509
2024-09,Sales,488133,475197,167205,165745
2023-10,Finance,404489,416354,194365,277597
2023-07,Sales,294361,331056,172375,205994
2024-02,Sales,785922,795970,466435,480642
2023-05,Marketing,484412,521322,274442,312019
2023-03,Sales,728929,726465,395169,291053
2024-11,Finance,747247,744360,271108,323799
2023-11,HR,498520,503633,172951,160318
2023-11,Finance,173299,169367,75122,79889
2024-06,Marketing,545644,435211,265122,249441
2024-03,Finance,475615,431763,264063,252656
2023-12,Operations,535951,551693,198081,202603
2023-09,HR,791230,767576,351222,372830
2023-10,Operations,426823,418842,210949,220644
2023-12,Operations,541969,520939,235040,246722
2024-05,IT,130570,117038,56962,45919
2023-06,Marketing,670909,631210,246582,345167
2023-07,Sales,321586,309745,191664,207916
2024-02,Operations,368581,368808,163118,181980
2024-01,Finance,390323,408748,179479,179299
2023-08,Sales,778606,761736,284633,261542
2023-10,Finance,743920,652002,337918,362469
2023-09,Finance,501286,417185,188786,206417
2024-06,Sales,485643,637014,175171,218135
2023-02,Sales,638845,552231,244496,332916
2023-05,Finance,647040,606771,194647,247504
2023-05,Marketing,258320,274346,121680,95521
2023-06,HR,251513,262404,104690,102694
2024-07,IT,622822,661750,354763,390371
2023-08,HR,416447,394322,130019,128713
2024-04,Marketing,209002,214985,65409,68249
2024-01,IT,794402,800249,449442,327296
2023-01,Sales,427431,411421,144468,171502
2024-10,IT,159570,164269,47974,36876
2024-08,Finance,572699,645227,202548,164899
2024-05,HR,655410,653663,358616,321965
2023-07,IT,766878,765447,414738,429407
2024-01,Finance,82400,92961,33128,26720
2023-04,Marketing,182639,203708,91394,81426
2023-04,IT,622166,740422,281327,343877
2023-06,Finance,98850,78017,56484,58356
2024-07,Marketing,716495,794316,227076,253197
2023-12,Sales,95113,101979,51737,44729
2024-10,Marketing,108791,97228,38205,39806
2023-07,Marketing,646015,665518,269702,277690
2023-10,HR,632840,712663,226295,210614
2024-07,Finance,189118,170300,96598,100687
2023-07,IT,579222,609983,291637,223446
2023-03,HR,752166,830814,349282,389725
2024-01,Operations,313498,273206,159711,158126
2024-01,Marketing,679065,667470,334011,337824
2024-06,Operations,669640,693824,356872,420311
2024-08,HR,304164,275105,113094,126077
2023-08,Finance,103046,92174,44173,44272
2023-09,HR,423242,416383,146225,129045
2023-07,Finance,639352,700855,274204,342562
2023-01,Finance,369328,397857,188544,160070
2023-03,Sales,708323,635103,359415,411316
2024-01,Marketing,77424,83483,39705,32176
2024-05,HR,785399,706613,308371,366246
2024-12,Finance,708402,571524,353254,424466
2023-01,HR,548493,524327,225013,171709
2023-06,HR,319283,362308,186252,208118
2024-09,Finance,323370,348824,130321,144001
2023-06,IT,417378,417299,200719,231922
2023-12,Operations,523514,497335,274867,303669
2024-01,Marketing,395796,377284,226364,205007
2024-01,Marketing,743468,753173,320716,326301
2024-03,IT,644935,562246,263227,342115
